census_cd	census_type	census_sub_cd	province_cd	region_cd	region_sub_cd	region_type	latitude	longitude	land_sq_km	pop_this	pop_last	pop_change	pop_change_pct	pop_per_sq_km	private_dwell	private_dwell_res
1001101	CSD	 	NL	Division No.  1	Division No.  1, Subd. V	SNO	46.728	-53.3693	    894.14	      62	      65	-3	     -4.6	    0.1	      83	      28
1001105	CSD	 	NL	Division No.  1	Portugal Cove South	T	46.7102	-53.2573	      1.14	     160	     222	-62	    -27.9	  140.4	      90	      69
1001113	CSD	 	NL	Division No.  1	Trepassey	T	46.7281	-53.3693	     55.81	     570	     763	-193	    -25.3	   10.2	     335	     258
1001120	CSD	 	NL	Division No.  1	St. Shott's	T	46.6339	-53.5862	      1.14	      81	     109	-28	    -25.7	   71.3	      44	      40
1001124	CSD	 	NL	Division No.  1	Division No.  1, Subd. U	SNO	46.9249	-52.9335	    754.37	    1489	    1620	-131	     -8.1	    2.0	     956	     624
1001126	CSD	 	NL	Division No.  1	Cape Broyle	T	47.0947	-52.9407	     10.05	     506	     545	-39	     -7.2	   50.4	     269	     215
1001131	CSD	 	NL	Division No.  1	Renews-Cappahayden	T	46.8926	-52.9478	    127.84	     310	     421	-111	    -26.4	    2.4	     234	     144
1001136	CSD	 	NL	Division No.  1	Fermeuse	T	46.9637	-52.9402	     38.73	     323	     284	39	     13.7	    8.3	     167	     134
1001140	CSD	 	NL	Division No.  1	Port Kirwan	T	46.9756	-52.9042	      9.19	      65	      85	-20	    -23.5	    7.1	      55	      29
1001144	CSD	 	NL	Division No.  1	Aquaforte	T	47.0164	-52.9486	      6.82	      83	     103	-20	    -19.4	   12.2	      65	      44
1001149	CSD	 	NL	Division No.  1	Ferryland	T	47.0252	-52.881	     13.62	     465	     529	-64	    -12.1	   34.1	     241	     200
1001155	CSD	 	NL	Division No.  1	Division No.  1, Subd. W	SNO	47.1632	-53.4487	    842.57	     511	     561	-50	     -8.9	    0.6	     814	     239
1001169	CSD	 	NL	Division No.  1	St. Vincent's-St. Stephen's-Peter's River	T	46.7778	-53.6262	     87.50	     340	     363	-23	     -6.3	    3.9	     206	     152
1001174	CSD	 	NL	Division No.  1	Gaskiers-Point La Haye	T	46.8715	-53.6077	     23.81	     233	     302	-69	    -22.8	    9.8	     131	     108
1001178	CSD	 	NL	Division No.  1	St. Mary's	T	46.912	-53.546	     37.05	     439	     482	-43	     -8.9	   11.8	     212	     185
1001181	CSD	 	NL	Division No.  1	Riverhead	T	46.9807	-53.4801	    105.60	     212	     220	-8	     -3.6	    2.0	     110	      86
1001186	CSD	 	NL	Division No.  1	Admirals Beach	T	47.0033	-53.6242	     24.42	     153	     185	-32	    -17.3	    6.3	      79	      64
1001192	CSD	 	NL	Division No.  1	St. Joseph's	T	47.0902	-53.5123	     32.31	     115	     144	-29	    -20.1	    3.6	     101	      57
1001197	CSD	 	NL	Division No.  1	Mount Carmel-Mitchells Brook-St. Catherine's	T	47.1631	-53.4493	     61.55	     358	     438	-80	    -18.3	    5.8	     287	     166
1001203	CSD	 	NL	Division No.  1	Division No.  1, Subd. X	SNO	47.219	-53.5553	    570.88	     506	     510	-4	     -0.8	    0.9	     689	     221
1001207	CSD	 	NL	Division No.  1	Colinet	T	47.2193	-53.5553	      6.23	     110	     165	-55	    -33.3	   17.7	      88	      48
1001214	CSD	 	NL	Division No.  1	Division No.  1, Subd. C	SNO	46.8094	-54.1019	    833.08	     131	     185	-54	    -29.2	    0.2	     146	      64
1001219	CSD	 	NL	Division No.  1	Branch	T	46.8816	-53.9535	     16.15	     247	     309	-62	    -20.1	   15.3	     168	     110
1001225	CSD	 	NL	Division No.  1	Point Lance	T	46.8096	-54.1018	     29.14	     120	     119	1	      0.8	    4.1	      47	      43
1001228	CSD	 	NL	Division No.  1	St. Bride's	T	46.9285	-54.1761	      5.84	     308	     386	-78	    -20.2	   52.7	     160	     134
1001234	CSD	 	NL	Division No.  1	Division No.  1, Subd. B	SNO	47.2844	-53.9248	    460.21	     344	     478	-134	    -28.0	    0.7	     241	     150
1001240	CSD	 	NL	Division No.  1	Placentia	T	47.2727	-53.9277	     58.05	    3643	    3898	-255	     -6.5	   62.8	    1737	    1548
1001254	CSD	 	NL	Division No.  1	Fox Harbour	T	47.3185	-53.9119	     19.78	     270	     314	-44	    -14.0	   13.6	     129	     114
1001259	CSD	 	NL	Division No.  1	Division No.  1, Subd. A	SNO	47.8152	-53.961	    779.54	     757	     898	-141	    -15.7	    1.0	     623	     349
1001263	CSD	 	NL	Division No.  1	Long Harbour-Mount Arlington Heights	T	47.4404	-53.7903	     18.41	     298	     211	87	     41.2	   16.2	     266	     128
1001267	CSD	 	NL	Division No.  1	Southern Harbour	T	47.7164	-53.961	      5.41	     534	     474	60	     12.7	   98.8	     235	     208
1001270	CSD	 	NL	Division No.  1	Arnold's Cove	T	47.7745	-53.9734	      4.93	     990	    1003	-13	     -1.3	  201.0	     462	     400
1001274	CSD	 	NL	Division No.  1	Come By Chance	T	47.8413	-53.9596	     41.16	     247	     260	-13	     -5.0	    6.0	     109	      97
1001277	CSD	 	NL	Division No.  1	Sunnyside	T	47.8718	-53.9472	     37.95	     452	     470	-18	     -3.8	   11.9	     233	     182
1001281	CSD	 	NL	Division No.  1	Chance Cove	T	47.677	-53.8175	     18.20	     282	     310	-28	     -9.0	   15.5	     151	     125
1001285	CSD	 	NL	Division No.  1	Norman's Cove-Long Cove	T	47.5728	-53.6789	     19.98	     720	     773	-53	     -6.9	   36.0	     324	     286
1001289	CSD	 	NL	Division No.  1	Chapel Arm	T	47.4883	-53.6678	     28.17	     468	     451	17	      3.8	   16.6	     222	     192
1001293	CSD	 	NL	Division No.  1	Division No.  1, Subd. Y	SNO	47.4816	-53.5636	    191.06	    1175	    1187	-12	     -1.0	    6.1	     958	     474
1001298	CSD	 	NL	Division No.  1	Whitbourne	T	47.444	-53.5384	     21.41	     916	     855	61	      7.1	   42.8	     478	     385
1001304	CSD	 	NL	Division No.  1	Division No.  1, Subd. E	SNO	47.693	-53.4845	    218.91	    2971	    3007	-36	     -1.2	   13.6	    1473	    1184
1001308	CSD	 	NL	Division No.  1	Whiteway	T	47.693	-53.4845	     22.64	     293	     220	73	     33.2	   12.9	     123	     101
1001312	CSD	 	NL	Division No.  1	Heart's Delight-Islington	T	47.7702	-53.4723	     27.27	     704	     663	41	      6.2	   25.8	     394	     305
1001316	CSD	 	NL	Division No.  1	Heart's Desire	T	47.8222	-53.4264	     17.27	     223	     226	-3	     -1.3	   12.9	     120	     101
1001321	CSD	 	NL	Division No.  1	Division No.  1, Subd. F	SNO	47.9951	-53.2892	    174.29	     546	     582	-36	     -6.2	    3.1	     327	     238
1001325	CSD	 	NL	Division No.  1	Heart's Content	T	47.8476	-53.3655	     62.81	     375	     418	-43	    -10.3	    6.0	     224	     171
1001328	CSD	 	NL	Division No.  1	New Perlican	T	47.9098	-53.3349	     24.47	     210	     188	22	     11.7	    8.6	     158	      99
1001332	CSD	 	NL	Division No.  1	Winterton	T	47.9504	-53.2904	     10.52	     484	     518	-34	     -6.6	   46.0	     276	     207
1001335	CSD	 	NL	Division No.  1	Hant's Harbour	T	48.0041	-53.2894	     32.31	     346	     401	-55	    -13.7	   10.7	     206	     159
1001339	CSD	 	NL	Division No.  1	Division No.  1, Subd. G	SNO	47.8348	-53.1432	    308.54	    2017	    2218	-201	     -9.1	    6.5	    1359	     899
1001343	CSD	 	NL	Division No.  1	Old Perlican	T	48.0872	-53.0015	     14.47	     661	     676	-15	     -2.2	   45.7	     308	     264
1001347	CSD	 	NL	Division No.  1	Bay de Verde	T	48.0968	-52.8878	     13.28	     398	     470	-72	    -15.3	   30.0	     207	     170
1001352	CSD	 	NL	Division No.  1	Small Point-Adam's Cove-Blackhead-Broad Cove	T	47.8348	-53.1432	     22.22	     389	     438	-49	    -11.2	   17.5	     308	     172
1001357	CSD	 	NL	Division No.  1	Division No.  1, Subd. H	SNO	47.776	-53.2132	     56.85	     408	     423	-15	     -3.5	    7.2	     238	     166
1001361	CSD	 	NL	Division No.  1	Salmon Cove	T	47.778	-53.1757	      4.21	     695	     707	-12	     -1.7	  165.2	     315	     283
1001365	CSD	 	NL	Division No.  1	Victoria	T	47.7721	-53.224	     17.64	    1764	    1769	-5	     -0.3	  100.0	     728	     691
1001370	CSD	 	NL	Division No.  1	Carbonear	T	47.7292	-53.2509	     11.81	    4739	    4723	16	      0.3	  401.2	    2034	    1883
1001374	CSD	 	NL	Division No.  1	Division No.  1, Subd. I	SNO	47.7066	-53.2522	     65.43	     271	     213	58	     27.2	    4.1	     174	     105
