census_cd	census_type	census_sub_cd	province_cd	region_cd	region_sub_cd	region_type	latitude	longitude	land_sq_km	pop_this	pop_last	pop_change	pop_change_pct	pop_per_sq_km	private_dwell	private_dwell_res
0010001.00	CT	001	NL		St. John's		47.5452	-52.6964	     10.12	    2064	    2004	60	      3.0	  203.9	     805	     787
0010002.00	CT	001	NL		St. John's		47.5399	-52.7325	      1.96	    4860	    4942	-82	     -1.7	 2484.0	    2312	    2137
0010003.01	CT	001	NL		St. John's		47.5367	-52.7406	      1.63	    4385	    4586	-201	     -4.4	 2696.3	    2177	    1996
0010003.02	CT	001	NL		St. John's		47.5373	-52.7575	      1.94	    4920	    5004	-84	     -1.7	 2537.0	    2305	    2221
0010004.00	CT	001	NL		St. John's		47.5546	-52.7644	      9.20	    7505	    7278	227	      3.1	  815.4	    3674	    3373
0010005.01	CT	001	NL		St. John's		47.5545	-52.7314	      0.96	    2479	    2532	-53	     -2.1	 2574.5	    1335	    1243
0010005.02	CT	001	NL		St. John's		47.5613	-52.7285	      0.98	    3453	    3584	-131	     -3.7	 3510.6	    1763	    1576
0010006.00	CT	001	NL		St. John's		47.5558	-52.7137	      1.08	    3123	    3249	-126	     -3.9	 2900.8	    1808	    1583
0010007.00	CT	001	NL		St. John's		47.5645	-52.7038	      0.56	    2296	    2395	-99	     -4.1	 4120.6	    1466	    1233
0010008.00	CT	001	NL		St. John's		47.5725	-52.6816	      2.46	    1511	    1630	-119	     -7.3	  613.9	     935	     774
0010009.00	CT	001	NL		St. John's		47.5745	-52.7034	      0.52	     532	     507	25	      4.9	 1030.4	     252	     235
0010010.00	CT	001	NL		St. John's		47.5689	-52.7149	      0.62	    1739	    1525	214	     14.0	 2790.0	     877	     783
0010011.00	CT	001	NL		St. John's		47.5654	-52.7234	      0.49	    2700	    2815	-115	     -4.1	 5472.2	    1416	    1264
0010012.00	CT	001	NL		St. John's		47.5685	-52.7338	      1.48	    2712	    2728	-16	     -0.6	 1830.6	    1295	    1096
0010013.00	CT	001	NL		St. John's		47.5767	-52.7198	      0.90	    1792	    1814	-22	     -1.2	 1994.7	     851	     776
0010014.00	CT	001	NL		St. John's		47.5802	-52.715	      1.58	    3401	    3465	-64	     -1.8	 2152.9	    1431	    1338
0010015.01	CT	001	NL		St. John's		47.5945	-52.6676	     10.14	    4314	    4490	-176	     -3.9	  425.5	    2131	    1963
0010015.02	CT	001	NL		St. John's		47.5926	-52.7053	      1.29	    3854	    3844	10	      0.3	 2997.1	    1733	    1652
0010015.03	CT	001	NL		St. John's		47.5989	-52.7204	      2.77	    5525	    5362	163	      3.0	 1995.7	    2181	    2073
0010015.04	CT	001	NL		St. John's		47.6068	-52.7059	      3.07	    6009	    5605	404	      7.2	 1954.8	    2265	    2167
0010016.01	CT	001	NL		St. John's		47.5953	-52.7529	      6.20	    4407	    3070	1337	     43.6	  710.3	    1862	    1757
0010016.02	CT	001	NL		St. John's		47.5799	-52.7647	     19.93	    5206	    4756	450	      9.5	  261.2	    2734	    2271
0010017.00	CT	001	NL		St. John's		47.4399	-52.9061	    151.91	    3477	    1756	1721	     98.0	   22.9	    1285	    1247
0010100.01	CT	001	NL		St. John's		47.5143	-52.7606	     10.91	    5313	    5047	266	      5.3	  486.9	    2342	    2237
0010100.03	CT	001	NL		St. John's		47.4728	-52.6857	    131.60	    3406	    3321	85	      2.6	   25.9	    1275	    1242
0010100.04	CT	001	NL		St. John's		47.4274	-52.7902	     31.48	    3967	    4075	-108	     -2.7	  126.0	    1407	    1389
0010110.00	CT	001	NL		St. John's		47.3057	-52.7851	     48.23	    2462	    2148	314	     14.6	   51.0	    1029	     919
0010170.01	CT	001	NL		St. John's		47.5194	-52.7609	      2.74	    2998	    3088	-90	     -2.9	 1093.2	    1338	    1245
0010170.02	CT	001	NL		St. John's		47.5322	-52.7686	      1.56	    4349	    4479	-130	     -2.9	 2791.9	    1851	    1765
0010171.00	CT	001	NL		St. John's		47.5196	-52.7889	      3.80	    4399	    4169	230	      5.5	 1156.9	    2002	    1889
0010172.02	CT	001	NL		St. John's		47.5189	-52.8288	      4.82	    6109	    6602	-493	     -7.5	 1268.0	    2578	    2380
0010172.03	CT	001	NL		St. John's		47.5194	-52.8101	      0.77	    2189	    2316	-127	     -5.5	 2839.2	     986	     924
0010172.04	CT	001	NL		St. John's		47.5263	-52.8114	      4.94	    4635	    3974	661	     16.6	  938.2	    2021	    1895
0010172.05	CT	001	NL		St. John's		47.5037	-52.8015	      1.88	    5377	    5625	-248	     -4.4	 2863.2	    2054	    1964
0010172.06	CT	001	NL		St. John's		47.5075	-52.8102	      1.14	    2137	    2367	-230	     -9.7	 1882.5	     863	     847
0010200.01	CT	001	NL		St. John's		47.6378	-52.6935	     32.38	    4610	    3683	927	     25.2	  142.4	    1730	    1686
0010200.02	CT	001	NL		St. John's		47.6487	-52.7587	     49.68	    8644	    7275	1369	     18.8	  174.0	    3118	    3030
0010200.03	CT	001	NL		St. John's		47.7403	-52.759	     92.40	    3720	    3349	371	     11.1	   40.3	    1449	    1385
0010201.00	CT	001	NL		St. John's		47.6257	-52.8508	     33.89	    2933	    2823	110	      3.9	   86.6	    1167	    1110
0010202.01	CT	001	NL		St. John's		47.5567	-52.8412	     20.62	    1687	     508	1179	    232.1	   81.8	     788	     713
0010202.02	CT	001	NL		St. John's		47.584	-52.8659	     11.51	    3224	    2773	451	     16.3	  280.2	    1218	    1157
0010202.04	CT	001	NL		St. John's		47.5307	-52.8469	      5.57	    8143	    6223	1920	     30.9	 1461.6	    3167	    3027
0010202.05	CT	001	NL		St. John's		47.5464	-52.8956	     23.67	    9552	    6361	3191	     50.2	  403.6	    3739	    3472
0010300.00	CT	001	NL		St. John's		47.5205	-52.9284	      8.66	    7669	    7209	460	      6.4	  885.4	    2906	    2796
0010301.01	CT	001	NL		St. John's		47.5029	-52.965	     21.95	    6559	    5799	760	     13.1	  298.9	    2530	    2442
0010301.02	CT	001	NL		St. John's		47.4892	-53.0145	     11.45	    6280	    5116	1164	     22.8	  548.5	    2422	    2326
0010302.00	CT	001	NL		St. John's		47.4662	-53.0583	     17.21	    4340	    3842	498	     13.0	  252.1	    1669	    1575
2050001.00	CT	205	NS		Halifax		44.6016	-63.6188	      5.71	    3759	    3648	111	      3.0	  658.9	    1570	    1496
2050002.00	CT	205	NS		Halifax		44.6163	-63.5999	     11.52	    5363	    5398	-35	     -0.6	  465.5	    2628	    2351
2050003.00	CT	205	NS		Halifax		44.6297	-63.5709	      2.36	    3036	    2637	399	     15.1	 1284.3	    1298	    1150
2050004.01	CT	205	NS		Halifax		44.6381	-63.5693	      0.48	    3418	    3259	159	      4.9	 7106.0	    2595	    2159
2050004.02	CT	205	NS		Halifax		44.6369	-63.5765	      0.49	    4649	    4221	428	     10.1	 9585.6	    3272	    2765
2050005.00	CT	205	NS		Halifax		44.631	-63.5892	      0.77	    1797	    1796	1	      0.1	 2342.6	     727	     666
2050006.00	CT	205	NS		Halifax		44.638	-63.5948	      1.05	    3122	    3217	-95	     -3.0	 2976.7	    1841	    1361
2050007.00	CT	205	NS		Halifax		44.6447	-63.5841	      1.18	    1716	    1780	-64	     -3.6	 1459.2	    1241	    1029
2050008.00	CT	205	NS		Halifax		44.6438	-63.5732	      0.50	    2763	    2641	122	      4.6	 5472.4	    2096	    1534
2050009.00	CT	205	NS		Halifax		44.6504	-63.5777	      0.63	    1984	    1859	125	      6.7	 3134.3	    1329	    1159
2050010.00	CT	205	NS		Halifax		44.6557	-63.5866	      0.83	    5029	    4699	330	      7.0	 6056.1	    3160	    2768
2050011.00	CT	205	NS		Halifax		44.6479	-63.5994	      0.81	    5910	    5768	142	      2.5	 7279.2	    2926	    2656
2050012.00	CT	205	NS		Halifax		44.6437	-63.5955	      0.52	    2650	    2594	56	      2.2	 5096.2	    1234	    1099
2050013.00	CT	205	NS		Halifax		44.642	-63.6126	      0.80	    2617	    2613	4	      0.2	 3278.6	    1151	    1095
2050014.00	CT	205	NS		Halifax		44.6284	-63.6134	      1.84	    4104	    4023	81	      2.0	 2234.1	    1944	    1879
2050015.00	CT	205	NS		Halifax		44.6224	-63.6222	      2.04	    4691	    4746	-55	     -1.2	 2296.2	    2583	    2351
2050016.00	CT	205	NS		Halifax		44.6264	-63.6352	      2.56	    3351	    3058	293	      9.6	 1308.4	    1557	    1454
2050017.00	CT	205	NS		Halifax		44.641	-63.6378	      2.90	    2710	    2266	444	     19.6	  933.0	    1215	    1155
2050018.00	CT	205	NS		Halifax		44.649	-63.6227	      1.39	    3622	    3642	-20	     -0.5	 2612.3	    1997	    1901
2050019.00	CT	205	NS		Halifax		44.6525	-63.6051	      0.90	    4956	    4412	544	     12.3	 5515.9	    2588	    2431
2050020.00	CT	205	NS		Halifax		44.6601	-63.5945	      1.00	    2665	    2672	-7	     -0.3	 2671.7	    1168	    1061
